speakers,clean_name,race,job,party,gender
FMR AMB ANDREW YOUNG,Andrew Young,black,ambassador,dem,male
FMR DIR JAMES CLAPPER,James Clapper,white,administration,na,male
FMR GOV JEB BUSH,Jeb Bush,white,elected,rep,male
FMR GOV JEB BUSH R FL,Jeb Bush,white,elected,rep,male
FMR GOV MARIO CUOMO,Mario Cuomo,white,elected,dem,male
FMR GOV MARTIN O MALLEY,Martin O'Malley,white,elected,dem,male
FMR GOV MIKE HUCKABEE,Mike Huckabee,white,elected,rep,male
FMR GOV PAT MCCRORY,Pat McCrory,white,elected,rep,male
FMR MAYOR MICHAEL BLOOMBERG,Michael Bloomberg,white,elected,ind,male
FMR SEC HILLARY CLINTON,Hillary Clinton,white,cabinet,dem,female
FMR SEC OF STATE JOHN KERRY,John Kerry,white,cabinet,dem,male
FMR SEN FRED THOMPSON,Fred Thompson,white,elected,rep,male
FMR SEN JACK DANFORTH ON TAPE,Jack Danforth,white,elected,rep,male
FMR SEN JIM DEMINT,Jim DeMint,white,elected,rep,male
FMR SEN JIM WEBB,Jim Webb,white,elected,dem,male
FMR SENATOR RICK SANTORUM,Rick Santorum,white,elected,rep,male
FMR VICE PRESIDENT JOE BIDEN,Joe Biden,white,elected,dem,male
FRANK LUNTZ,Frank Luntz,white,pundit,rep,male
FRED YANG,Fred Yang,asian,pundit,dem,male
GABE SHERMAN,Gabe Sherman,white,journalist,na,male
GARRY KASPAROV,Garry Kasparov,white,activist,na,male
GARY COHN,Gary Cohn,white,administration,rep,male
GARY JOHNSON,Gary Johnson,white,elected,ind,male
GEN RAY ODIERNO,Ray Odierno,hispanic,military,na,male
GENERAL MIKE FLYNN,Mike Flynn,white,administration,rep,male
GEORGE BUSH,George Bush,white,elected,rep,male
GEORGE CLOONEY,George Clooney,white,activist,dem,male
GEORGE H W BUSH,George H.W. Bush,white,elected,rep,male
GOV BILL HASLAM,Bill Haslam,white,elected,rep,male
GOV MIKE PENCE,Mike Pence,white,elected,rep,male
GOVERNOR MIKE PENCE,Mike Pence,white,elected,rep,male
JEB BUSH,Jeb Bush,white,elected,rep,male
Jeb Bush,Jeb Bush,white,elected,rep,male
JEB BUSH ON TAPE,Jeb Bush,white,elected,rep,male
JOE BIDEN,Joe Biden,white,elected,dem,male
KATE MCKINNON AS HILLARY CLINTON,Kate Mckinnon,white,impersonator,dem,female
KATE McKINNON AS HILLARY CLINTON,Kate Mckinnon,white,impersonator,dem,female
LARRY DAVID AS BERNIE SANDERS,Larry David,white,impersonator,dem,male
LT GEN MICHAEL FLYNN,Lt Gen,white,administration,rep,male
LT GENERAL MICHAEL FLYNN,Lt General,white,administration,rep,male
MAYOR STEPHANIE RAWLINGS BLAKE,Stephanie Rawlings Blake,black,mayor,dem,female
MICHAEL BLOOMBERG,Michael Bloomberg,white,elected,ind,male
MICHAEL CHE AS LESTER HOLT,Michael Che,black,entertainer,dem,male
MICHAEL FLYNN,Michael Flynn,white,administration,rep,male
MICHELLE OBAMA,Michelle Obama,black,other,dem,male
MIKE BLOOMBERG,Michael Bloomberg,white,elected,ind,male
MIKE FLYNN,Mike Flynn,white,administration,rep,male
MIKE PENCE,Mike Pence,white,elected,rep,male
NANCY PELOSI,Nancy Pelosi,white,elected,dem,female
PRES BARACK OBAMA,Pres Barack,black,elected,dem,male
PRES BILL CLINTON,Bill Clinton,white,elected,dem,male
PRES OBAMA,Pres Obama,black,elected,dem,male
PRESIDENT BARACK OBAMA,President Barack,black,elected,dem,male
PRESIDENT BILL CLINTON,Bill Clinton,white,elected,dem,male
PRESIDENT BUSH,President Bush,white,elected,rep,male
PRESIDENT OBAMA,President Obama,black,elected,dem,male
PRESIDENT OBAMA ON TAPE,President Obama,black,elected,dem,male
PRESIDENT OBAMA TAPE,President Obama,black,elected,dem,male
PRESS SECRETARY SEAN SPICER,Sean Spicer,white,administration,rep,male
REP DEBBIE WASSERMAN SCHULTZ,Debbie Wasserman Schultz,white,elected,dem,female
REP NANCY PELOSI,Rep Nancy,white,elected,dem,female
REPRESENTATIVE NANCY PELOSI,Nancy Pelosi,white,elected,dem,female
SARAH HUCKABEE SANDERS,Sarah Huckabee,white,administration,rep,female
SEN BARACK OBAMA,Sen Barack,black,elected,dem,male
SEN BERNIE SANDERS,Sen Bernie,white,elected,ind,male
SEN BILL CASSIDY,Bill Cassidy,white,elected,rep,male
SEN DANIEL PATRICK MOYNIHAN,Daniel Patrick Moynihan,white,elected,dem,male
SENATOR BERNIE SANDERS,Senator Bernie,white,elected,ind,male
SENATOR CORY BOOKER ON TAPE,Cory Booker,black,elected,dem,male
THEN GOVERNOR BILL CLINTON,Bill Clinton,white,elected,dem,male
TODD,Chuck Todd,white,journalist,na,male
Tom Perez,Tom Perez,hispanic,administration,dem,male
TOM PERRIELLO,Tom Perriello,white,elected,dem,male
TOM VILSACK,Tom Vilsack,white,administration,dem,male
TRANSLATOR FOR BENJAMIN NETANYAHU,Benjamin Netanyahu,white,foreign leader,na,male
TRENT LOTT,Trent Lott,white,elected,rep,male
TREY GOWDY,Trey Gowdy,white,elected,rep,male
TUCKER CARLSON,Tucker Carlson,white,pundit,rep,male
VA SECRETARY ROBERT MCDONALD,Robert McDonald,white,cabinet,dem,male
VICE PRESIDENT ELECT MIKE PENCE,Mike Pence,white,elected,rep,male
VICE PRESIDENT JOE BIDEN,Joe Biden,white,elected,dem,male
VICE PRESIDENT MIKE PENCE,Mike Pence,white,elected,rep,male
WILLIAM M DALEY,Bill Daily,white,administration,dem,male
WOLF BLITZER,Wolf Blitzer,white,journalist,na,male
YAMICHE ALCINDOR,Yamiche Alcindor,black,pundit,dem,female
ZBIGNIEW BRZEZINSKI,Zbigniew Brzezinski,white,administration,dem,male
Zbigniew Brzezinski,Zbigniew Brzezinski,white,administration,dem,male
